Load Balancer Simulation Log
Servers: 10, Cycles: 10000
Task Time Range: 10-100 clock cycles
Starting Queue Size: 1000 requests
Dynamic Scaling: Enabled (80% threshold for scale up, 40% for scale down)
Request Types: GET, POST, PUT, DELETE
Priority Levels: 1-10
Server Capacity: 10 concurrent requests per server
----------------------------------------
Cycle    | Servers | Queue | Processed | System Util | Queue Util | Active | Inactive | Rejected
---------|---------|-------|-----------|-------------|-----------|--------|----------|---------
Cycle   100 | Servers: 20 | Queue:  780 | Processed:    134 | System Util: 100.0% | Queue Util:  78.0% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   200 | Servers: 20 | Queue:  617 | Processed:    308 | System Util: 100.0% | Queue Util:  61.7% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   300 | Servers: 20 | Queue:  443 | Processed:    495 | System Util: 100.0% | Queue Util:  44.3% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   400 | Servers: 20 | Queue:  263 | Processed:    686 | System Util: 100.0% | Queue Util:  26.3% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   500 | Servers: 20 | Queue:  104 | Processed:    858 | System Util: 100.0% | Queue Util:  10.4% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   600 | Servers: 20 | Queue:    0 | Processed:   1029 | System Util:  49.0% | Queue Util:   0.0% | Active: 20 | Inactive:  0 | Rejected:  0
Cycle   700 | Servers: 19 | Queue:    0 | Processed:   1083 | System Util:   5.3% | Queue Util:   0.0% | Active: 19 | Inactive:  0 | Rejected:  0
Cycle   800 | Servers: 19 | Queue:    0 | Processed:   1093 | System Util:   9.5% | Queue Util:   0.0% | Active: 19 | Inactive:  0 | Rejected:  0
Cycle   900 | Servers: 18 | Queue:    0 | Processed:   1106 | System Util:  11.1% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1000 | Servers: 18 | Queue:    0 | Processed:   1119 | System Util:  10.0% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1100 | Servers: 18 | Queue:    0 | Processed:   1133 | System Util:   5.6% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1200 | Servers: 18 | Queue:    0 | Processed:   1148 | System Util:  12.2% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1300 | Servers: 18 | Queue:    0 | Processed:   1165 | System Util:  13.3% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1400 | Servers: 18 | Queue:    0 | Processed:   1187 | System Util:  16.7% | Queue Util:   0.0% | Active: 18 | Inactive:  0 | Rejected:  0
Cycle  1500 | Servers: 16 | Queue:    0 | Processed:   1207 | System Util:  13.8% | Queue Util:   0.0% | Active: 16 | Inactive:  0 | Rejected:  0
Cycle  1600 | Servers: 16 | Queue:    0 | Processed:   1225 | System Util:   8.8% | Queue Util:   0.0% | Active: 16 | Inactive:  0 | Rejected:  0
Cycle  1700 | Servers: 16 | Queue:    0 | Processed:   1240 | System Util:   7.5% | Queue Util:   0.0% | Active: 16 | Inactive:  0 | Rejected:  0
Cycle  1800 | Servers: 16 | Queue:    0 | Processed:   1253 | System Util:  10.0% | Queue Util:   0.0% | Active: 16 | Inactive:  0 | Rejected:  0
Cycle  1900 | Servers: 16 | Queue:    0 | Processed:   1271 | System Util:  12.5% | Queue Util:   0.0% | Active: 16 | Inactive:  0 | Rejected:  0
Cycle  2000 | Servers: 14 | Queue:    0 | Processed:   1284 | System Util:   8.6% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2100 | Servers: 14 | Queue:    0 | Processed:   1295 | System Util:  18.6% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2200 | Servers: 14 | Queue:    0 | Processed:   1311 | System Util:  11.4% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2300 | Servers: 14 | Queue:    0 | Processed:   1326 | System Util:  11.4% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2400 | Servers: 14 | Queue:    0 | Processed:   1336 | System Util:   8.6% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2500 | Servers: 14 | Queue:    0 | Processed:   1349 | System Util:   5.7% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2600 | Servers: 14 | Queue:    0 | Processed:   1355 | System Util:  14.3% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2700 | Servers: 14 | Queue:    0 | Processed:   1371 | System Util:  12.9% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
